x,y,title,User,Category,Description,Installations,Score
5.0117126,11.484369,ABC Kids PreSchool Learning,Children,Literacy - English / ABCs,"ABC kids Preschool learning Games for Kids A-Z (500+ Worksheets) is an educational games for toddler baby to learn basic tracing starting from ABCs alphabet learning, lines, phonics games, trace numbers 123(1 to 10) and shapes & colors. 

ABC Kids ...","10,000",n/a
0.98498756,10.778221,Animal sounds. Learn animals names for kids,Children,General play,"The largest zoo of animals for kids!!!  Works offline Full Free! I’d like to mention once again, the app is completely free, because I made it for my little daughter. Voiced in English, Spanish, Hindi, Russian and other.

It’s like a children’s pho...","1,000,000",4.95
2.1180868,9.243819,Toddler's Audio Player: music and stories for kids,Children,General play,"Your kids want to choose music by themselves, but they can't read yet? This app is a kid friendly music player with parental controls.

Add tracks from your device or Internet to Toddler's Audio Player, assign images and switch to the child mode. T...","10,000",n/a
-0.7696438,6.2415085,Lovebug,Parents,Helping babies to sleep,"Lovebug provides you with a baby nap schedule, over 100 video lessons with pediatric sleep coaches, a baby tracker and many more tools to make baby sleep a breeze. Researching and planning your baby’s sleep is now one less thing you have to worry abo...","1,000",n/a
5.007735,10.352841,Jolly Phonics Songs,Children,Literacy - English / ABCs,"All our hugely popular songs from Jolly Phonics are now available in one fun app, which includes the actions too! Children will love learning their letter sounds by singing along to the Jolly Songs and doing the actions. Being able to identify the le...","5,000",4.62
-1.393052,7.953118,Lullaby for Babies,Parents,Helping babies to sleep,"The lullabies are intended for parents who want to quickly put their children to sleep.
If your baby is crying, has trouble falling asleep or to calm down before bedtime, try the our lullabies to put the children to sleep.

Lullabies, lullaby lyri...","1,000,000",4.89
1.8731724,8.019325,Mother Goose Club: Nursery Rhymes & Learning Games,Children,General play,"Transform screen time into a fun learning experience with Mother Goose Club!

We've developed a great app using song, rhyme, play and dance, to bring preschool to the world. From babies to young children this is the ideal first app, with:

• Excl...","100,000",3.59
1.9537286,9.800926,Little Hospital,Children,General play,"EXPERIENCE A HOSPITAL
Meet doctors, nurses, dentists and flower shop keepers. Try out the X-ray, drive an ambulance and save some kids after a crash with their skateboards. 
 
DISCOVER & EXPLORE
In Little Hospital kids can discover a busy medical...","1,000,000",3.05
3.506992,10.453124,Kids Academy Talented & Gifted,Children,Learning play,"COPPA and FERPA compliant, 100% safe with parental control and no ads.

Based on tried-and-true approaches to preschool education, Kids Academy's Early Learning Center is educational apps for kids from 2 to 10. It develops reading, writing, and mat...","100,000",3.92
-0.17142965,9.761485,Toddler puzzle games for kids,Children,General play,"Fun and educational app for children between the ages 1-5 years! This amazing learning game will definitely be enjoyed by kindergarten and preschool children. Designed for both boys and girls.

Every vehicle will take you on a little adventure wher...","500,000",2.57
0.9793044,3.917043,GLOW. Pregnancy & Baby Tracker + Baby Registry App,Parents,Pregnancy tracking,"Pregnancy? Countdown baby and track pregnancy with Glow Nurture!

Glow Nurture is an amazing pregnancy tracker app. It gives you everything you need during your pregnancy, including daily updates on baby size, baby development milestones, baby coun...","1,000,000",4.45
2.8584154,11.831493,Toddler educational games,Children,Learning play,"Toddler educational games include puzzles for toddlers that will help to develop their coordination, attention, logic and motor skills.

The game for toddlers with various puzzles that are suitable for both boys and girls. 

Experts believe that ...","1,000,000",4.06
-1.1768863,7.803912,Atmosphere: Lullaby Music for Babies,Parents,Helping babies to sleep,"Lullabies are one of the most common things known among people since ancient times and have existed in almost every culture. Lullabies soothe babies and calm them to sleep. Thus, infants develop a lot of attachment to some particular lullaby if a mot...","10,000",4.92
0.06716416,5.774907,Louenna,Parents,Tracking babies' rhythms,"Louenna is the ‘Nanny in Your Pocket’ app giving parents everything they need to prepare for and care for their babies and children. Whenever you have a question about your baby or child, the app has the answer. Featuring over 250 chapters, video dem...","5,000",4.2
1.3862385,9.297414,Sago Mini World: Kids Games,Children,General play,"THE PERFECT APP FOR PRESCHOOLERS
Discover hours of creative, interactive play with 40+ award-winning games in one app! Little ones aged 2-5 play, build, create, and pretend with thoughtfully designed games that spark imagination and curiosity. 

*...","5,000,000",3.96
2.7644982,11.176404,Kid-E-Cats: Games for Toddlers,Children,Learning play,"Do you like cats game for kids? Then these kitty games for babies are for you! 😺 Kids learning games free! This game for kid will be very useful in learning! 🤓📚

One, two, three, four, five 
Kittens going on a hike!
Doubts aside, no second though...","1,000,000",2.67
1.1706393,11.327535,Learn Animals for Kids – Preschool Learning,Children,General play,"Are you ready to help your little one learn about forest, grassland, desert, polar, ocean animals, pet animals and other types of animals through an animal learning app? How about offering interactive learning experience to kids through educational v...","10,000",n/a
0.7480383,12.941578,Kids Coloring & Kids Drawing – Coloring Book,Children,Drawing and colouring,"""✨If you wonder how your kids should spend their time while you have to finish some job, the coloring game is here to help you. This amusing application is made for children in aim to fulfil their time in creative, fun and interesting way. It represe...","100,000",4.44
0.8526931,10.347891,Toca Life: Pets,Children,General play,"Welcome to Toca Life: Pets, where you and your animal friends run the show! What’s your favorite pet like? Furry and fast? Wet and wiggly? A little bit creepy? With more than 120 animals, Toca Life: Pets has every kind of pet you can imagine.

EXPL...","100,000",4.38
4.7180657,13.195695,Learn numbers for toddlers. Number tracing app,Children,Numeracy development,"Learn numbers with an educational game for kids and toddlers, that provides for children a chance to learn preschool math, numbers from 1 to 20, counting and tracing numbers on the screen. This helps kids enjoy the learning numbers process at an earl...","10,000",n/a
3.635602,10.821675,Montessori Preschool Games,Children,Learning play,"Montessori Preschool Games is a comprehensive play and learning app that helps kids learn their ABCs, numbers, counting, shapes, math, organizing, tracing, hand-eye coordination, and more. Your child will be able to practice thousands of new words, l...","10,000",n/a
-0.67605543,4.755412,"Baby Feed Timer, Breastfeeding",Parents,Tracking babies' rhythms,"Designed by and for breastfeeding mothers who want to track when and for how long their baby feeds, including a useful reminder for when a feed is due. It even tells you which breast to start on! 

Breastfeeding or Bottle feeding and trying to keep...","50,000",4.72
4.1880956,8.751041,Speech Blubs: Language Therapy,Children,Learning play,"Do you need more proof? Check out the featured stories on Speech Blubs in Thrive Magazine, Autism Parenting, Brisbane Kids, Speech Chick Therapy, Beautiful Speech Life, and The Speech Teacher. Speech Blubs was also honored by winning the Social Impac...","1,000,000",3.56
4.591193,12.493671,Learning numbers and counting for kids,Children,Numeracy development,"We present an educational application for kids that will help them learn numbers together with funny characters, as well as teach them how to count and perform simple mathematical operations. 

Funny and bright pictures are waiting for the kids, so...","100,000",n/a
-1.5168091,7.120808,Sound Sleeper - White Noise,Parents,Helping babies to sleep,"Get to sleep quickly and sleep well through the night.
Features:
- white noise sounds including fan, vacuum cleaner, rain, womb, and more…
- sound self-activates at first cry – you might not even have to get out of bed to soothe your baby!
- reco...","500,000",4.7
1.9943169,10.052851,True Wishes,Children,General play,"True shares her wonderful Wishes with you! Join True in playing bright, fun-filled activities!

The Rainbow Kingdom awaits! True welcomes you to the Rainbow Kingdom, and needs your help! Choose any of True's seven wish friends and tap, swipe, stack...","10,000",4.29
5.3313437,12.585692,123 for Kids | Number Flashcard Preschool Toddlers,Children,Numeracy development,"123 For Kids is a Numbers Flashcards App, containing ideal amount of undistracted information to help memorizing the numbers’ shapes for children of 8 months to 5 years. 123 For Kids is specially designed to cater the needs of parents to memorize the...","50,000",n/a
1.9349568,0.4706825,Clue Period & Cycle Tracker,Parents,Fertility tracking,"Track your period, discover patterns in your menstrual cycle, and learn how your body works – with Clue. 

Clue is more than just a period tracker. The app uses science and data to help you learn how your menstrual cycle affects your mind and body....","10,000,000",4.57
2.3177893,11.769019,Jack's House - Games for kids!,Children,Learning play,"Funny life situations of little Jack will teach your child in the easiest form! The game develops logic, attention, memory and color perception. Excellent graphics, lots of animation, phonic voice, lively music and funny sounds will not get you bored...","1,000",4.0
1.9966134,5.646387,Baby Pics Free,Parents,Baby photos,"Capture your precious moments and turn them into ever lasting memories. Baby Story App makes your pregnancy, baby pics, and baby milestones into beautiful visual stories. 

Parents-to-be & new parents, Baby Pics app is made for you!

Capture prec...","1,000,000",4.87
-1.5675807,7.693223,Lullabo: Lullaby for Babies,Parents,Helping babies to sleep,"Lullabo contains a carefully selected collection of soothing lullabies and white noise for babies or toddlers.

It can help you to put your baby to sleep faster and prevent unintentional sleep interruptions. The lullabies can be played simultaneous...","500,000",4.85
1.4307375,4.524089,Bounty Pregnancy and Baby App,Parents,Pregnancy tracking,"The Bounty Pregnancy App & Baby Tracker App is both a pregnancy countdown app when you are expecting and a parenting app for with a baby development tracker for new parents once you have given birth.

--- EVERYTHING YOU NEED DURING YOUR PREGNANCY A...","500,000",4.76
-1.1274014,7.6191635,Relax Baby Music Lullaby Songs,Parents,Helping babies to sleep,Relaxing Lullabies Music and Songs with sleep sounds all packed in a single app. Relaxing sounds brings together a variety of different Meditation views to choose according to your mood. With the HD audio and relaxing wallpapers you will feel like yo...,"5,000",n/a
2.709932,10.209175,Baby Games: 2-4 year old Kids,Children,Learning play,"15 games for 2,3,4 year olds. Keep your toddlers occupied with 15 different educational baby games, which will help them learn and improve their skills while having a great fun. 

Preschool games give our babies lots of interactive learning time, s...","10,000,000",4.73
2.0329933,11.641873,Puzzloo - Educational Games for Kids,Children,Learning play,"Puzzloo - Educational Activities for Kids is a great game! In addition to entertaining and entertaining, it also helps in pedagogical development by encouraging attention, memorization, agility, number counting, separation methods, among other skills...","1,000",n/a
2.9085398,9.910337,Smile and Learn,Children,Learning play,"Smile and Learn is an app for children age 3 to 12,  including more than 7,500 educational activities, games, interactive stories and videos for kids age 3 to 12. 

 Our goal is for your kids to develop and strengthen their multiple intelligences a...","100,000",n/a
1.3511437,12.138486,Animals Puzzle for Kids: Preschool,Children,General play,"Do your kids love animals and puzzles and looking puzzle games for kids? Look no further. Animals Puzzle for Kids is a fun animated puzzle game for toddlers including those with autism, preschoolers, and children from ages 1 to 6. These puzzle games ...","1,000,000",3.94
2.3709192,0.57840395,Period Calendar Period Tracker,Parents,Fertility tracking,"★The rating 4.9★ period calendar!

Popular in 63 Countries.
Trusted by 100 million Android Users.

Keep track of your menstrual cycles with Period Calendar. It tracks your periods, cycles, ovulation and the chance of conception. Period tracker h...","100,000,000",4.93
5.4996867,8.281802,Learn French Vocabulary - Kids,Children,Literacy - non-English,"Welcome to ""Chick - Learn French"", a learning app for kids , beginners and starters from 2 to 8 years of age, through which they will learn french in a fun, playful way.

Download the app and enjoy its content!

Topics
★ Alphabet 
★ Numbers
★ ...","100,000",4.63
1.5394996,8.451365,BabyBeats™ Early Intervention Resource,Children,General play,"Parents may feel lots of different emotions following the diagnosis of their child’s hearing loss. It can be an emotional and  challenging time and many parents ask, “How can I support my child right now?”      
                                     ...","5,000",n/a
0.51274675,9.483662,Sago Mini Planes Adventure,Children,General play,"Try before you buy!* Play Planes Adventure free 6 times, no strings attached.

The most magical, fun-filled airplane adventure for kids! 

Pick a plane, load your passengers and take flight! Catch some sun at the beach then cool off in the arctic...","100,000",3.92
-0.11942225,9.982248,Garage Master - games for kids,Children,General play,"Unique kids game which will help your child to develop creativity! A car game for toddlers, with amazing heroes for both boys and girls. It is designed for children and toddlers 2+ years old.

Main features:
✔ Easy and smooth tap controls
✔ Choos...","1,000,000",3.79
3.7107234,11.381975,Preschool & Kindergarten 2 SE,Children,Learning play,"9 brand-new educational games for preschool and kindergarten aged kids! Featuring helpful voice narration, colorful animations, and fun sound effects these games will help your kids in 9 different subjects including counting, sorting, letters, phonic...",500,n/a
5.292343,12.724946,Elmo Loves 123s,Children,Numeracy development,"This is an app full of games, activities, and videos, which will help teach your child about numbers and counting. Numbers 1, 2 and 3 included. Upgrade to unlock numbers 4 through 20.


Elmo loves exploring numbers! This app has songs and videos a...","1,000,000",3.59
