x,y,title,User,Category,Description,Installations,Score,image
5.0117126,11.484369,ABC Kids PreSchool Learning,Children,Literacy - English / ABCs,"ABC kids Preschool learning Games for Kids A-Z (500+ Worksheets) is an educational games for toddler baby to learn basic tracing starting from ABCs alphabet learning, lines, phonics games, trace numbers 123(1 to 10) and shapes & colors. 

ABC Kids ...","10,000",n/a,https://play-lh.googleusercontent.com/mdwAIy_S_QbUd2r0Atj13bndwQoWnQQHic6ZRLeRle0mWHTCcGRL0PGBBISUghy-rw
0.98498756,10.778221,Animal sounds. Learn animals names for kids,Children,General play,"The largest zoo of animals for kids!!!  Works offline Full Free! I’d like to mention once again, the app is completely free, because I made it for my little daughter. Voiced in English, Spanish, Hindi, Russian and other.

It’s like a children’s pho...","1,000,000",4.95,https://play-lh.googleusercontent.com/pUO080cUD5nodnM9IiRcxcFqh25AcaJ3Bf7LS25EEWc8EwagIYie3Pprg6SOn7Q7FQ
2.1180868,9.243819,Toddler's Audio Player: music and stories for kids,Children,General play,"Your kids want to choose music by themselves, but they can't read yet? This app is a kid friendly music player with parental controls.

Add tracks from your device or Internet to Toddler's Audio Player, assign images and switch to the child mode. T...","10,000",n/a,https://play-lh.googleusercontent.com/uWWV18NpVPP3SP9A1zsLE3pFxZc_mUmK_4K-INK64rqVdcLKuP6VgktMoqfNGbRx83Y
-0.7696438,6.2415085,Lovebug,Parents,Helping babies to sleep,"Lovebug provides you with a baby nap schedule, over 100 video lessons with pediatric sleep coaches, a baby tracker and many more tools to make baby sleep a breeze. Researching and planning your baby’s sleep is now one less thing you have to worry abo...","1,000",n/a,https://play-lh.googleusercontent.com/qxTCg4OPZnInzpdAdAHjEYH73UkGKunPL7pCSXvbNhO-ZI9jfC7Y1jBdmYgfSun2a2Q
5.007735,10.352841,Jolly Phonics Songs,Children,Literacy - English / ABCs,"All our hugely popular songs from Jolly Phonics are now available in one fun app, which includes the actions too! Children will love learning their letter sounds by singing along to the Jolly Songs and doing the actions. Being able to identify the le...","5,000",4.62,https://play-lh.googleusercontent.com/cfyo7OfYrtYasRMD36kMEvwSLqGILzv2v6Pwm3EZkcl73Q1uDSg-dQhgb3Rh_DEpJpk
-1.393052,7.953118,Lullaby for Babies,Parents,Helping babies to sleep,"The lullabies are intended for parents who want to quickly put their children to sleep.
If your baby is crying, has trouble falling asleep or to calm down before bedtime, try the our lullabies to put the children to sleep.

Lullabies, lullaby lyri...","1,000,000",4.89,https://play-lh.googleusercontent.com/u-i-LbX4nsQ-rn40MNNARrpji9gmaq-Vtw1kxMVrzzPXOf2OlVf2vEg9hM32m9b9eMk
1.8731724,8.019325,Mother Goose Club: Nursery Rhymes & Learning Games,Children,General play,"Transform screen time into a fun learning experience with Mother Goose Club!

We've developed a great app using song, rhyme, play and dance, to bring preschool to the world. From babies to young children this is the ideal first app, with:

• Excl...","100,000",3.59,https://play-lh.googleusercontent.com/dLhDFvN_FA9rI-lT9Z-SxYJJBydKPKbUj88D_85PEZIJedkd2SuSb1cmGYhgpd_aKw8
1.9537286,9.800926,Little Hospital,Children,General play,"EXPERIENCE A HOSPITAL
Meet doctors, nurses, dentists and flower shop keepers. Try out the X-ray, drive an ambulance and save some kids after a crash with their skateboards. 
 
DISCOVER & EXPLORE
In Little Hospital kids can discover a busy medical...","1,000,000",3.05,https://play-lh.googleusercontent.com/MPcig4IfjqXBZ4DwIyA3JrezKPJ1XOaYoJ4pXrfLchiJtvBYyFptgwibwhRoajCIggU
3.506992,10.453124,Kids Academy Talented & Gifted,Children,Learning play,"COPPA and FERPA compliant, 100% safe with parental control and no ads.

Based on tried-and-true approaches to preschool education, Kids Academy's Early Learning Center is educational apps for kids from 2 to 10. It develops reading, writing, and mat...","100,000",3.92,https://play-lh.googleusercontent.com/AUI0GA0aFJpfNGJYoil0Pf46VqfadXXhLPHI_X9WEzJYqcoJpgOawFSYwmQYft9UeNc
-0.17142965,9.761485,Toddler puzzle games for kids,Children,General play,"Fun and educational app for children between the ages 1-5 years! This amazing learning game will definitely be enjoyed by kindergarten and preschool children. Designed for both boys and girls.

Every vehicle will take you on a little adventure wher...","500,000",2.57,https://play-lh.googleusercontent.com/iu52nNNDdr8P3AaczjYFxSFszAd0cfJkMGMmsUSOi5YVNC15ObXGb4-YuvZ810YU9Ig
0.9793044,3.917043,GLOW. Pregnancy & Baby Tracker + Baby Registry App,Parents,Pregnancy tracking,"Pregnancy? Countdown baby and track pregnancy with Glow Nurture!

Glow Nurture is an amazing pregnancy tracker app. It gives you everything you need during your pregnancy, including daily updates on baby size, baby development milestones, baby coun...","1,000,000",4.45,https://play-lh.googleusercontent.com/gl90jcmcllbj_plLDgNO2YgaoJwV0gOJ4l2c9T_8ZG-STWjQ9bsVhpI7Ul0cgiKSFA
2.8584154,11.831493,Toddler educational games,Children,Learning play,"Toddler educational games include puzzles for toddlers that will help to develop their coordination, attention, logic and motor skills.

The game for toddlers with various puzzles that are suitable for both boys and girls. 

Experts believe that ...","1,000,000",4.06,https://play-lh.googleusercontent.com/CbtzUrRupVBHt6UIO94jpHH3AH-NZcMHwLZVQX9lqsvT2XoXJHIRG5Bd_WqHlZoDK4Y
-1.1768863,7.803912,Atmosphere: Lullaby Music for Babies,Parents,Helping babies to sleep,"Lullabies are one of the most common things known among people since ancient times and have existed in almost every culture. Lullabies soothe babies and calm them to sleep. Thus, infants develop a lot of attachment to some particular lullaby if a mot...","10,000",4.92,https://play-lh.googleusercontent.com/4rGEuC832EsDIJflUpalwSClJ78PoJrXAUHuqbrpUTTgm511Er-EOjX2SWcmMRwH_eE
0.06716416,5.774907,Louenna,Parents,Tracking babies' rhythms,"Louenna is the ‘Nanny in Your Pocket’ app giving parents everything they need to prepare for and care for their babies and children. Whenever you have a question about your baby or child, the app has the answer. Featuring over 250 chapters, video dem...","5,000",4.2,https://play-lh.googleusercontent.com/1JZKaxvIFcVcZKHPzhtGs1jR60TITd_A8mfCJPSVc72LQ8yOntz0y-BxGmKFWuzHhhS_
1.3862385,9.297414,Sago Mini World: Kids Games,Children,General play,"THE PERFECT APP FOR PRESCHOOLERS
Discover hours of creative, interactive play with 40+ award-winning games in one app! Little ones aged 2-5 play, build, create, and pretend with thoughtfully designed games that spark imagination and curiosity. 

*...","5,000,000",3.96,https://play-lh.googleusercontent.com/eWJTKZLBAvT32G4ahnMEGH3FYRPxODwGgg0QWm8n9Ua-PqYP_BNYb4fXlPGXfETvoVA
2.7644982,11.176404,Kid-E-Cats: Games for Toddlers,Children,Learning play,"Do you like cats game for kids? Then these kitty games for babies are for you! 😺 Kids learning games free! This game for kid will be very useful in learning! 🤓📚

One, two, three, four, five 
Kittens going on a hike!
Doubts aside, no second though...","1,000,000",2.67,https://play-lh.googleusercontent.com/r21X1ebJwMR9IINOxovThXALJmYPAtHvw2WmjiRuhGzgfI0EWJwZ4NxSL2DACsBkHvM
1.1706393,11.327535,Learn Animals for Kids – Preschool Learning,Children,General play,"Are you ready to help your little one learn about forest, grassland, desert, polar, ocean animals, pet animals and other types of animals through an animal learning app? How about offering interactive learning experience to kids through educational v...","10,000",n/a,https://play-lh.googleusercontent.com/yoplyO71v-IAoR8FZTty7mq282a26JchIlEDrAPRjrx8fTkyDGWtQoQUqM7jwsOeVOJm
0.7480383,12.941578,Kids Coloring & Kids Drawing – Coloring Book,Children,Drawing and colouring,"""✨If you wonder how your kids should spend their time while you have to finish some job, the coloring game is here to help you. This amusing application is made for children in aim to fulfil their time in creative, fun and interesting way. It represe...","100,000",4.44,https://play-lh.googleusercontent.com/NeIuaJmSaH6CMCqo5imoaXKV5SYY-L9UIlf7Q00d37VFnGeCpLV4DdNswe7--p5bnw
0.8526931,10.347891,Toca Life: Pets,Children,General play,"Welcome to Toca Life: Pets, where you and your animal friends run the show! What’s your favorite pet like? Furry and fast? Wet and wiggly? A little bit creepy? With more than 120 animals, Toca Life: Pets has every kind of pet you can imagine.

EXPL...","100,000",4.38,https://play-lh.googleusercontent.com/p7YpblT5hZVXKMqFS5Gpm_12ZFsZOtv2kFabQBSsd14xlOjeWuIvKl1xXMHzfYvKcug
4.7180657,13.195695,Learn numbers for toddlers. Number tracing app,Children,Numeracy development,"Learn numbers with an educational game for kids and toddlers, that provides for children a chance to learn preschool math, numbers from 1 to 20, counting and tracing numbers on the screen. This helps kids enjoy the learning numbers process at an earl...","10,000",n/a,https://play-lh.googleusercontent.com/15mjX15VjEBssvvepYqI8gM59-mdeYMKrQG4XY5FGQSiy6267Bx23e4TyCgNVtPd38U
3.635602,10.821675,Montessori Preschool Games,Children,Learning play,"Montessori Preschool Games is a comprehensive play and learning app that helps kids learn their ABCs, numbers, counting, shapes, math, organizing, tracing, hand-eye coordination, and more. Your child will be able to practice thousands of new words, l...","10,000",n/a,https://play-lh.googleusercontent.com/DxqzMKbpX2FHOPd62AQ46B-3M_mWfbuNJBC4CgvpmBRwRlAeNFD5_zsL4RmZZ71_RUk
-0.67605543,4.755412,"Baby Feed Timer, Breastfeeding",Parents,Tracking babies' rhythms,"Designed by and for breastfeeding mothers who want to track when and for how long their baby feeds, including a useful reminder for when a feed is due. It even tells you which breast to start on! 

Breastfeeding or Bottle feeding and trying to keep...","50,000",4.72,https://play-lh.googleusercontent.com/XZ0K_GfZkZIpHVnRIwSYpIPuQ4oJYXeClNWdqxb7WCkQXJxR6h-tCV2u_ggqd0MZ5a4
4.1880956,8.751041,Speech Blubs: Language Therapy,Children,Learning play,"Do you need more proof? Check out the featured stories on Speech Blubs in Thrive Magazine, Autism Parenting, Brisbane Kids, Speech Chick Therapy, Beautiful Speech Life, and The Speech Teacher. Speech Blubs was also honored by winning the Social Impac...","1,000,000",3.56,https://play-lh.googleusercontent.com/qQ9w2JqWZERLeXhQr_RiE-DgAqxpet3zHVB3GLDHsI6MhiHC2uiQfeIwVdE9YVtd6BE
