ordering,Category,icon,url,title,Description,Installations,Score
0,Tracking babies' rhythms,https://play-lh.googleusercontent.com/WL8VEBl99k9HEE3b63FYNUwA9VLIZ8snJ5P0-2N_gEdZ3dQWApnQsdfryAKDsUsZOi-o,https://play.google.com/store/apps/details?id=au.com.penguinapps.android.babyfeeding.client.android&hl=en&gl=uk,Feed Baby - Baby Tracker,"The perfect breastfeeding and baby tracker.. Join over 1.2 million new parents who have used Feed Baby to log and record all aspects of their newborn’s development. This is the only app you will need to care for your little one.

With this world cl...",1000000,4.44
2,Tracking babies' rhythms,https://play-lh.googleusercontent.com/YmeElk9rx6Ik3AXMAwtX8ce42Zbt8TGABf-Iowk-a8LD3Vahjwi_Ct3Z8sHGcuYZyNXa,https://play.google.com/store/apps/details?id=org.twisevictory.apps&hl=en&gl=uk,The Wonder Weeks,"The #1 baby app worldwide! Understand why & when your baby suddenly cries more than usual, is not themselves and… what you can do to help. 

Your baby is suddenly crying all the time, clinging to you, and you ask yourself what is wrong. The good ne...",1000000,4.2
4,Tracking babies' rhythms,https://play-lh.googleusercontent.com/Gd5_GuS3UgeodEjSms4idMt3aPaTYMXwjw9MnR8JD10QtmGg-mI3p2Yk4R1o8A7du4Q8,https://play.google.com/store/apps/details?id=yducky.application.babytime&hl=en&gl=uk,BabyTime (Tracking & Analysis),"BabyTime is a baby activity tracker app to record all aspects of your baby’s care with easy-to-use, no-nonsense interface. Track and chart your baby’s developmental milestones, special moments, growth, symptoms, nursing, feedings, sleep, diaper chang...",1000000,4.42
6,Tracking babies' rhythms,https://play-lh.googleusercontent.com/dDfFm-1VhhUGfTWQ_vaxnQQ9Z1pApmha4lWufchGCSPfSkRTKvL0eTTRBFn9JHiwRbYh,https://play.google.com/store/apps/details?id=com.amila.parenting&hl=en&gl=uk,"Baby tracker - feeding, sleep","Baby Tracker:
- breastfeeding and baby feeding tracker
- newborn feeding
- baby sleep tracker
- baby diaper tracker
- baby care tracker
- newborn baby care
- calendar and notes

Baby tracker app statistics:
- baby feeding 
- breastfeeding...",1000000,4.87
8,Tracking babies' rhythms,https://play-lh.googleusercontent.com/MaZNHaTdB8SbVJaA-k9mlGW79KJRJYK2DiI9rnD2BnMt1F9t3tM9FaCQjh6GPwi4Ch8G,https://play.google.com/store/apps/details?id=com.wachanga.babycare&hl=en&gl=uk,Breastfeeding Tracker. Newborn,"This App is a handy and reliable assistant for breastfeeding your newborn baby. You can track breastfeeding, bottle feeding, solid food feeding and milk pumping. You can save diaper changing, sleeping periods and the results of your baby's height and...",1000000,4.57
0,Helping babies to sleep,https://play-lh.googleusercontent.com/6jRJ1zyY0du85wCKZvxLO12PiKmCK7fnSEy6Bi0jhvBwrxsaIeO7HDZtkhhcQtzhG3U,https://play.google.com/store/apps/details?id=net.relaxio.babysleep&hl=en&gl=uk,Baby Sleep - White Noise,"Babies love white noise. They have spent 9 months in the quite loud womb so they are used to ""noise"". Background white noise is actually calming for your baby and resembles the kind of sounds that he would hear in the womb.

The app contains great ...",5000000,4.6
2,Helping babies to sleep,https://play-lh.googleusercontent.com/r3nmui9kVz3yOuSIHNArjjqs2u1pmj8qKCrpDqn9r2qJFCHoEatyfmJdvXEUxJHFLg,https://play.google.com/store/apps/details?id=com.desenvdroid.sondforbabessleep2&hl=en&gl=uk,Lullaby for babies,"Your baby cries a lot? Can you put a nice sound to calm your baby and sleep like an angel. Choose the music and the time and put your child to sleep, a beautiful song That will really calm your baby.
Lullabies are sung by mothers around the world fo...",5000000,4.81
4,Helping babies to sleep,https://play-lh.googleusercontent.com/rs1Xd0oh-f8UuBjPjCmWTVbiSFlEz9RhVipxZRvPqBTcSPPSRAhayl7uttW1y92y9g0,https://play.google.com/store/apps/details?id=com.zodinplex.lullabyrelaxandsleep&hl=en&gl=uk,Lullabies Relax & Sleep Baby,"Want your baby to fall asleep quickly? Just choose one of 5 wonderful lullabies, start timer and your kids will enjoy the best sleepy sounds.

A lullaby is a soothing song (sounds for kids), usually sung to young children before they go to sleep, w...",1000000,4.71
6,Helping babies to sleep,https://play-lh.googleusercontent.com/MS3AVQeTXWSO5I0MH0Xfro2OF-rRapZtw1dRxfTtsa68YxdFpcJxvs6csoTBW0PFMXc,https://play.google.com/store/apps/details?id=com.urbandroid.babysleep&hl=en&gl=uk,BabySleep: Whitenoise lullaby,"Puts your baby to sleep.

This app is intended especially for parents of newborns. It helps them put their babies to sleep instantly. The app uses classic white noise sounds (lullabies) proven to be more effective than music, tones or sung by gener...",1000000,4.68
8,Helping babies to sleep,https://play-lh.googleusercontent.com/tKUulGMNZxe6NJZO3O1WaI-Ii_trPQmYCSF0AnJZOteR8boM121wTrL7Y50b5HOZrg,https://play.google.com/store/apps/details?id=app.storybook.story&hl=en&gl=uk,Storybook: Sleep & Massage,"Bedtime stories with infant massage to put your baby to sleep.

Storybook combines the benefits of infant massage with story-telling to create a special moment between parent and child that not only improves health conditions, but also deepens thei...",1000000,2.5
